phylum	class	top_MOTU_class	pident_max_class	total_reads_class
Mollusca	Bivalvia	Bivalvia	100	109729845
NA	Dinophyceae	NA	100	170247733
Arthropoda	Hexanauplia	Oithona	100	235685247
Ciliophora	Oligohymenophorea	Sessilida	100	12495326
NA	Bigyra	Thraustochytriaceae	100	14205739
NA	Ichthyosporea	Paramoebidium	100	5623691
Endomyxa	Ascetosporea	NA	100	487836
Nematoda	Chromadorea	Chromadorita tentabundum	100	100528591
Bacillariophyta	Fragilariophyceae	NA	100	22468284
Ciliophora	Spirotrichea	NA	100	44837161
Cercozoa	Imbricatea	Protaspis	100	4167421
Bacillariophyta	Coscinodiscophyceae	NA	100	56941764
Platyhelminthes	Trematoda	Microphallus primas	100	1597738
Platyhelminthes	Rhabditophora	Coelogynopora	100	50591696
NA	Acantharea	Trizona brandti	100	14001
NA	Centroplasthelida	Triangulopteris	100	1466325
NA	Phaeophyceae	Ectocarpales	100	58707992
Ciliophora	Litostomatea	Kentrophyllum cf. setigerum	100	4254854
Bacillariophyta	Bacillariophyceae	Bacillariophyceae	100	41076428
Chlorophyta	Pyramimonadophyceae	Pyramimonas	100	3015183
Annelida	Polychaeta	Polydora cornuta	100	98624735
Mollusca	Gastropoda	Peringia ulvae	100	43433691
Ascomycota	Saccharomycetes	Metschnikowia	100	764903
Arthropoda	Ostracoda	Howeina sp. SN004	100	41919053
Ascomycota	Sordariomycetes	NA	100	726910
NA	Choanoflagellata	Pleurasiga minima	100	2512486
Streptophyta	Magnoliopsida	Ruppia maritima	100	5972256
NA	Xanthophyceae	Xanthophyceae	100	4253
NA	Chrysophyceae	NA	100	2817241
Chytridiomycota	Chytridiomycetes	Rhizophydium patellarium	100	4705194
NA	Cryptophyceae	Cryptophyceae	100	29646038
Ciliophora	Karyorelictea	NA	100	689667
Bryozoa	Gymnolaemata	NA	100	1202266
Cercozoa	Thecofilosea	Cryothecomonas	100	35605780
Arthropoda	Collembola	Desoria	100	38315
Ciliophora	Prostomatea	Prorodontida	100	1318754
Annelida	Clitellata	Enchytraeidae	100	17292830
Tubulinea	Elardia	Paraflabellula hoguae	100	41337
Chordata	Actinopteri	Actinopteri	100	2860088
Evosea	Variosea	Flamella pleistocenica	100	2888
Discosea	Flabellinia	Paramoeba	100	3295
Chlorophyta	Mamiellophyceae	Ostreococcus	100	34162198
Ascomycota	Eurotiomycetes	NA	100	19694
Cnidaria	Anthozoa	Actiniaria	100	1207466
Apicomplexa	Conoidasida	Lankesteria	100	1045160
Arthropoda	Insecta	Lepismatidae sp. NKU-008	100	52568
Echinodermata	Holothuroidea	Holothuroidea	100	26
Nemertea	Palaeonemertea	Carinina ochracea	100	207888
Porifera	Calcarea	Leucascandra	100	73456
Ciliophora	Plagiopylea	Plagiopyla sp. PHB07091001	100	81830
Nematoda	Enoplea	Enoplolaimus	100	93428164
Basidiomycota	Tritirachiomycetes	Paratritirachium	92.079	45
NA	Breviatea	NA	100	568140
Ciliophora	Nassophorea	Arcanisutura	100	179723
Chlorophyta	Chlorophyceae	Chlorophyta	100	10808
Streptophyta	Polytrichopsida	Polytrichadelphus	91.176	8819
Ciliophora	Colpodea	Platyophrya	100	508934
NA	Raphidophyceae	Fibrocapsa	100	559490
Chordata	Chondrichthyes	Chondrichthyes	100	46
Cnidaria	Hydrozoa	Anthoathecata	100	10153301
Bacillariophyta	Mediophyceae	NA	100	9059031
Endomyxa	Phytomyxea	Spongospora	100	47524
NA	Developea	Develorapax	100	21241
NA	Dictyochophyceae	Dictyocha speculum	100	7148280
Streptophyta	Pinopsida	Pinopsida	100	76614
Basidiomycota	Agaricomycetes	NA	100	67311
Ascomycota	Pezizomycetes		100	28079
NA	Glaucocystophyceae	Glaucocystophyceae	92	870
Chordata	Ascidiacea	Phlebobranchia	100	18574316
Rotifera	Eurotatoria	Eurotatoria	100	5537713
Streptophyta	Zygnemophyceae	Spirogyra sp. EGR4	100	421144
Rhodophyta	Florideophyceae	Florideophyceae	100	16810986
NA	Rhodelphea	Rhodelphis	100	1420
Ciliophora	Armophorea	Metopus	100	33216
Arthropoda	Arachnida	Agaue sp. UFMG 170731	100	2549322
Porifera	Demospongiae	Demospongiae	100	1047969
Ascomycota	Dothideomycetes	NA	100	138833
Prasinodermophyta	Prasinodermophyceae	Prasinoderma	100	126812
NA	Olisthodiscophyceae	Olisthodiscus	100	386673
Platyhelminthes	Monogenea	Mazocraeoides	100	4396
Chlorophyta	Nephroselmidophyceae	Nephroselmis rotunda	100	3741
NA	Phaeosacciophyceae	Phaeosaccion	100	58265
Chlorophyta	Ulvophyceae	Halimeda macroloba	100	1381375
Zoopagomycota	Entomophthoromycetes	Pandora neoaphidis	100	2502
NA	Synurophyceae	NA	100	1326107
Ciliophora	Heterotrichea	Ampullofolliculina	100	1622010
NA	Hyphochytriomycetes	Hyphochytrium catenoides	100	18719
Arthropoda	Malacostraca	Gastrosaccus spinifer	100	5147065
Porifera	Homoscleromorpha	Plakina	91.346	21
Chlorophyta	Trebouxiophyceae	Chlorophyta	100	150712
Streptophyta	Charophyceae	Characeae	100	332974
Cercozoa	Chlorarachniophyceae	Minorisa	100	508768
Basidiomycota	Atractiellomycetes	Helicogloeaceae	100	797
Arthropoda	Branchiopoda	Bosmina	100	53
Chaetognatha	Sagittoidea	Aphragmophora	100	4877
NA	Pelagophyceae	Aureococcus anophagefferens	100	5806017
Platyhelminthes	Cestoda	Raillietina	97.826	18
Basidiomycota	Microbotryomycetes	NA	100	159284
NA	Chrysomerophyceae	Giraudyopsis	90.385	5238
Blastocladiomycota	Physodermatomycetes	Physoderma	99.038	3366
Basidiomycota	Tremellomycetes	NA	100	356011
Ctenophora	Tentaculata	Ctenophora	100	8242519
Arthropoda	Thecostraca	NA	100	1796948
Ciliophora	Odontostomatea	Epalxella	98.947	76841
Nemertea	Enopla	Enopla	100	815096
Mucoromycota	Mortierellomycetes	Mortierella sp. MS-6	98.077	10
Streptophyta	Bryopsida	Bryopsida	100	6951
Bryozoa	Stenolaemata	Crisia eburnea	100	932
NA	Polycystinea	Pseudodictyophimus	97.03	5537
Tardigrada	Eutardigrada	Parachela	100	254743
Ciliophora	Muranotrichea	Muranothrix	100	15353
Cnidaria	Scyphozoa	Aurelia	100	13399186
Chordata	Appendicularia	NA	100	5235719
Rhodophyta	Bangiophyceae	Porphyra	100	60371
Echinodermata	Asteroidea	NA	100	5095296
Mucoromycota	Mucoromycetes	NA	100	25502
NA	Filasterea	Ministeria vibrans	100	1980
NA	Aphelidea	Paraphelidium	99.02	535
NA	Eustigmatophyceae	NA	100	1017234
Chlorophyta	Chloropicophyceae	NA	100	8680
Ascomycota	Leotiomycetes	Blumeria	100	29083
Ciliophora	Parablepharismea	Parablepharisma	100	4671
Basidiomycota	Cystobasidiomycetes	NA	100	962
Basidiomycota	Pucciniomycetes	Pucciniomycetes	100	22818
Ascomycota	Lecanoromycetes	Lecanorales	100	1427
Rhodophyta	Compsopogonophyceae	Erythropeltidales	100	168871
NA	Bolidophyceae	Triparma pacifica	100	794705
Basidiomycota	Classiculomycetes	Classicula	95	777
Chytridiomycota	Monoblepharidomycetes	Harpochytrium	93.137	3063
Rhodophyta	Stylonematophyceae	Rhodophyta	100	1855
Echinodermata	Ophiuroidea	Echinodermata	100	202733
Rhodophyta	Rhodellophyceae	Rhodella	100	545727
Ctenophora	Nuda	Ctenophora	99.01	2651
Zoopagomycota	Zoopagomycetes	Acaulopage dichotoma	100	1659
Nemertea	Pilidiophora	NA	100	3173928
Euglenozoa	Euglenida	Lentomonas corrugata	100	63608
Mollusca	Polyplacophora	Lepidochitona cinerea	100	103787
Tardigrada	Heterotardigrada	Echiniscoides sigismundi	100	102945
Basidiomycota	Ustilaginomycetes	Ustilago filiformis	100	45880
Basidiomycota	Wallemiomycetes	Wallemia	100	1912
Basidiomycota	Exobasidiomycetes	NA	100	31007
Streptophyta	Klebsormidiophyceae	NA	100	1373
Streptophyta	Polypodiopsida	Polypodiopsida	100	1001
Platyhelminthes	Turbellaria	Ciliopharyngiella constricta	100	584
Arthropoda	Pycnogonida	Endeis	100	578
Kinorhyncha	Allomalorhagida	Pycnophyes	100	86836
Basidiomycota	Malasseziomycetes	NA	100	2892
Streptophyta	Marchantiopsida	Marchantia polymorpha	100	530
Kinorhyncha	Cyclorhagida	Echinoderes	96.296	613
Mucoromycota	Glomeromycetes	Gigaspora	91.176	22242
Apicomplexa	Marosporida	Rhytidocystis dobrovolskiji	99	30951
Chordata	Leptocardii	Branchiostoma	100	396
Ascomycota	Lichinomycetes	Lichina	100	272
Cnidaria	Staurozoa	Stauromedusae	100	48143
Ascomycota	Arthoniomycetes	Ascomycota	100	208
Blastocladiomycota	Blastocladiomycetes	Blastocladiales	99.074	239
Streptophyta	Anthocerotopsida	Megaceros	90.291	390
Basidiomycota	Agaricostilbomycetes	Kondoa	100	1593
Streptophyta	Chlorokybophyceae	Chlorokybus	90.196	52
Echinodermata	Echinoidea	Echinoidea	100	1476724
Acanthocephala	Palaeacanthocephala	Profilicollis	100	230
Ascomycota	Laboulbeniomycetes	Pyxidiophora arvernensis	100	137
Chordata	Amphibia	Anura	100	159
Tubulinea	Echinamoebida	Echinamoeba	97.222	184
Platyhelminthes	Catenulida	NA	100	176
Ascomycota	Taphrinomycetes	Taphrina	100	19947
NA	Synchromophyceae	Synchroma	100	146
Chordata	Mammalia	NA	100	39133
NA	Pinguiophyceae	Glossomastix	95.146	71
Bryozoa	Phylactolaemata	NA	100	539
NA	Aurearenophyceae	Aurearena	100	71
Chordata	Thaliacea	Doliolidae	100	13344
Mucoromycota	Endogonomycetes	Vinositunica	94.059	42
Mucoromycota	Umbelopsidomycetes	NA	100	27
Chlorophyta	Chlorodendrophyceae	NA	100	12766
