ID,Longitude,Latitude,Fisheries,Distance_To_Traffic,Traffic,Oxygen depletion,cell,Prop_gravel_and_coarse_sand,Prop_mud_and_sandy_mud,Prop_muddy_sand,Prop_quaternary_clay_and_silt,Prop_sand,Prop_sedimentary_rock,Prop_till_diamicton,FishingTrawling
autumn_1_rocks,8.4066144,55.4464839,0,211.89620971679688,NA,0,2612904117,0,0.4193548262119293,0,0,0.5806451439857483,0,0,No fishing/No ban
autumn_1_sand,8.31535033,55.46983904,0.8767096996307373,686.2215576171875,NA,0,2590826922,0,0,0,0,1,0,0,No fishing/No ban
autumn_10_eelgrass,8.61017776,56.55391126,0,3680.4892578125,NA,0,1586884146,0,0,0,0,1,0,0,No fishing/No ban
autumn_10_rocks,8.61454023,56.55032935,0,4124.37890625,NA,0,1590216493,0,0,0,0,1,0,0,No fishing/No ban
autumn_10_sand,8.61504498,56.55925617,0,3361.4580078125,NA,0,1581885696,0,0,0,0,0.9097937941551208,0,0.09020618349313736,No fishing/Ban
autumn_11_rocks,10.282349,56.8039704,0,10043.634765625,NA,0,1349466573,0,0,0,0,1,0,0,No fishing/No ban
autumn_11_sand,10.28607025,56.79719521,0,9416.076171875,NA,0,1355714697,0,0,0,0,1,0,0,No fishing/No ban
autumn_12_rocks,10.30299737,56.60978684,0,36.055511474609375,NA,0,1529328712,0,0,1,0,0,0,0,No fishing/No ban
autumn_12_sand,10.29712065,56.60705356,0,0,Yes,0,1531911225,0,0,0.9524999856948853,0,0,0,0.04749999940395355,No fishing/No ban
autumn_13_rocks,10.95986495,56.44552427,0,870.05743408203125,NA,0,1673622252,0,0,0,0,0,1,0,No fishing/No ban
autumn_13_sand,10.95508786,56.44816462,0,1018.6755981445313,NA,0,1671206290,0,0,0,0,0,1,0,No fishing/No ban
autumn_14_rocks,10.219473,56.1388617,0,2575.985107421875,NA,0,1966695293,0,0,0,0,0.8676470518112183,0,0.13235294818878174,No fishing/No ban
autumn_14_sand,10.22345435,56.12285239,0,3121.362060546875,NA,1,1981524144,0,0,0,0,0.647230327129364,0,0.352769672870636,No fishing/No ban
autumn_15_rocks,9.6995034,55.7030775,0,778.01025390625,NA,0,2374484770,0,0,0,0,1,0,0,No fishing/No ban
autumn_15_sand,9.710981,55.70038092,0,1006.0317993164063,NA,0,2376900775,0,0,0,0,1,0,0,No fishing/No ban
autumn_16_eelgrass,10.61310246,55.5021309,0,3288.677734375,NA,0,2552769684,0,0,0,0,0,0,1,No fishing/No ban
autumn_16_rocks,10.59840165,55.48628704,0,2551.568115234375,NA,0,2567681727,0,0,0,0,0,0,1,No fishing/No ban
autumn_16_sand,10.61822206,55.49418168,0,3964.89599609375,NA,0,2560100822,0,0,0,0,0,0,1,No fishing/No ban
autumn_17_eelgrass,9.71511814,55.48243617,0,1719.593017578125,NA,0,2578922726,0,0,0,0,1,0,0,No fishing/No ban
autumn_17_rocks,9.72807937,55.48988732,0,2080.384521484375,NA,0,2572008243,0,0,0,0,1,0,0,No fishing/No ban
autumn_17_sand,9.72438389,55.4722045,0,1210.165283203125,NA,0,2588419898,0,0,0,0,1,0,0,No fishing/No ban
autumn_18_rocks,9.50277209,55.11464713,0,833.84649658203125,NA,1,2920900753,0,0,0,0,1,0,0,No fishing/No ban
autumn_18_sand,9.4882245,55.11825552,0,1842.308349609375,NA,1,2917651648,0,0,0,0,0.9452054500579834,0,0.054794520139694214,No fishing/No ban
autumn_19_eelgrass,10.25488398,55.04167237,0,89.442718505859375,NA,2,2983553181,0,0,0.14499999582767487,0,0,0,0.8550000190734863,No fishing/No ban
autumn_19_rocks,10.25435219,55.04015914,0,250,NA,0,2984969414,0,0,0,0,0,0,1,No fishing/No ban
autumn_19_sand,10.21874036,55.06489033,0,452.76922607421875,NA,0,2962309406,0,0,0,0,1,0,0,No fishing/No ban
autumn_20_eelgrass,11.01524311,54.8791064,0,300,NA,0,3124765152,0,0,0,0,1,0,0,No fishing/No ban
autumn_20_rocks,11.0176403,54.8803404,0,450,NA,0,3123515547,0,0,0,0,1,0,0,No fishing/No ban
autumn_20_sand,11.01350353,54.88502254,0,970,NA,0,3119266810,0,0,0,0,1,0,0,No fishing/No ban
autumn_21_eelgrass,11.49217673,54.91905585,0,2216.032470703125,NA,0,3079531951,0,0,0,0,1,0,0,No fishing/No ban
autumn_21_rocks,11.4936118,54.8378707,0,120.41594696044922,NA,0,3154759116,0.38403043150901794,0,0,0,0.10646387934684753,0,0.5095056891441345,No fishing/No ban
autumn_21_sand,11.47969321,54.84748884,0,1249.19970703125,NA,0,3146094991,0,0,0,0,0,0,1,No fishing/No ban
autumn_23_rocks,12.4624129,54.955125,0.4383968114852905,7376.91650390625,NA,NA,3024055019,NA,NA,NA,NA,NA,NA,NA,NA
autumn_23_sand,12.47570698,54.95019802,0,6360.015625,NA,0,3028303815,0,0,0,0,1,0,0,No fishing/No ban
autumn_24_eelgrass,12.08769028,55.13308773,0,7191.3076171875,NA,0,2868516497,0,0,0,0,1,0,0,No fishing/No ban
autumn_24_rocks,12.0908908,55.1701609,0,9708.578125,NA,0,2834110295,0,0,0,0,1,0,0,No fishing/No ban
autumn_24_sand,12.10739352,55.135901,0,6304.490234375,NA,0,2865434225,0,0,0,0,1,0,0,No fishing/No ban
autumn_25_eelgrass,12.28239716,55.56489727,0,10702.392578125,NA,0,2463723939,0,0,0,0,0,0,1,No fishing/No ban
autumn_25_rocks,12.28656134,55.56748637,0,10959.5302734375,NA,0,2461224724,0,0,0,0,0,0,1,No fishing/No ban
autumn_25_sand,12.28888679,55.56931596,0,11146.892578125,NA,0,2459475270,0,0,0,0,0.6733668446540833,0,0.32663315534591675,No fishing/No ban
autumn_26_eelgrass,12.59476462,55.74929873,0,2488.473388671875,NA,0,2284696910,0,0,0,0,1,0,0,No fishing/No ban
autumn_26_rocks,12.60278652,55.75903234,0,2504.0166015625,NA,0,2275533074,0,0,0,0,0.9049999713897705,0,0.0949999988079071,No fishing/No ban
autumn_26_sand,12.59356584,55.75146986,0,2640.54931640625,NA,0,2282780817,0,0,0,0,1,0,0,No fishing/No ban
autumn_27_eelgrass,12.61937113,56.04229589,0,250,NA,0,2012612965,0,0,0,0,1,0,0,No fishing/No ban
autumn_27_rocks,12.6181348,56.0411843,0,388.32977294921875,NA,NA,2013695962,0,0,0,0,1,0,0,NA
autumn_27_sand,12.60919503,56.04450606,0,650,NA,0,2010863433,0,0,0,0,1,0,0,No fishing/No ban
autumn_28_eelgrass,11.8471504,55.95139329,0,430,NA,0,2115576887,0,0,0,0,1,0,0,No fishing/No ban
autumn_28_rocks,11.8442571,55.96726649,0,190,NA,0,2100997962,0,0,0,0,1,0,0,No fishing/No ban
autumn_28_sand,11.84613189,55.96898158,0,290,NA,0,2099331813,0,0,0,0,1,0,0,No fishing/No ban
autumn_29_eelgrass,12.07090738,55.68531813,0,3089.33642578125,NA,0,2357171615,0,1,0,0,0,0,0,No fishing/Ban
autumn_29_rocks,12.06896049,55.67983516,0,2482.03564453125,NA,0,2362336702,0,0.9222797751426697,0,0,0,0,0.07772020995616913,No fishing/Ban
autumn_29_sand,12.07310664,55.68356509,0,2891.401123046875,NA,0,2358754482,0,1,0,0,0,0,0,No fishing/Ban
autumn_3_rocks,8.1173628,55.9967104,0,11245.4482421875,NA,0,2101141321,0,0,0,0,1,0,0,No fishing/No ban
autumn_3_sand,8.12051726,55.98988942,3.1210272312164307,11462.7265625,NA,0,2107472748,0,0,0,0,1,0,0,Yes fishing/No ban
autumn_30_eelgrass,11.31756065,55.75904756,0,64.03124237060547,NA,0,2304182965,0,0,0,0,1,0,0,No fishing/No ban
autumn_30_rocks,11.32239182,55.75466545,0,169.70562744140625,NA,0,2308181781,0,0,0,0,1,0,0,No fishing/No ban
autumn_30_sand,11.34937786,55.75885483,0,1255.746826171875,NA,0,2303766625,0,0,0,0,1,0,0,No fishing/No ban
autumn_31_eelgrass,11.10107746,55.34659324,0,2040,NA,0,2690064402,0,0,0.19141913950443268,0,0,0,0.8085808753967285,No fishing/No ban
autumn_31_rocks,11.12842404,55.32808218,0,2893.52734375,NA,0,2706809489,0,0,0,0,1,0,0,No fishing/No ban
autumn_31_sand,11.10117661,55.3475465,0,2042.449462890625,NA,0,2689231322,0,0,0.19141913950443268,0,0,0,0.8085808753967285,No fishing/No ban
autumn_32_rocks,14.8263621,55.2521937,0,10248.169921875,NA,1,2665345616,0,0,0,0,0.4098360538482666,0.5901639461517334,0,No fishing/No ban
autumn_32_sand,14.8194941,55.2571398,0,10862.435546875,NA,1,2661096860,0,0,0,0,0.6282722353935242,0.37172773480415344,0,No fishing/No ban
autumn_33_rocks,14.90372037,55.02243003,0,7053.0703125,NA,0,2874532712,0,0,0,0,1,0,0,No fishing/No ban
autumn_33_sand,14.91194958,55.02055438,0,6849.76611328125,NA,0,2875865694,0,0,0,0,1,0,0,No fishing/No ban
autumn_4_rocks,8.6208932,57.1265072,0,7181.7822265625,NA,0,1055879055,0,0,0,0,1,0,0,No fishing/No ban
autumn_4_sand,8.6151892,57.1264403,0,6891.451171875,NA,0,1055962329,0,0,0,0,1,0,0,No fishing/No ban
autumn_5_rocks,9.957084,57.596185,0.003722928464412689,553.6243896484375,NA,NA,617520375,0,0,0,0,1,0,0,NA
autumn_5_sand,9.94725756,57.5921291,0,1071.5408935546875,NA,0,621352485,0,0,0,0,1,0,0,No fishing/No ban
autumn_6_rocks,10.42871,57.14392,0,15571.1044921875,NA,0,1032730372,0,0,0,0,1,0,0,No fishing/No ban
autumn_6_sand,10.42954,57.13986,0,15625.677734375,NA,0,1036479238,0,0,0,0,1,0,0,No fishing/No ban
autumn_7_rocks,11.1282307,57.3214171,0,12640.3671875,NA,NA,859037362,0,0,0,0,1,0,0,NA
autumn_7_sand,11.13292171,57.32297997,0,12951.509765625,NA,0,857454538,0,0,0,0,1,0,0,No fishing/No ban
autumn_8_eelgrass,9.87131989,57.05959471,0,50,NA,0,1115701779,0,0.18000000715255737,0.7174999713897705,0,0.10249999910593033,0,0,No fishing/No ban
autumn_8_rocks,9.8705184,57.0550982,0,92.19544219970703,NA,NA,1119867175,0,0.25170066952705383,0.7074829936027527,0,0.040816325694322586,0,0,NA
autumn_8_sand,9.63479997,57.01030036,0,1870.85546875,NA,0,1162686062,0,0,0,0,1,0,0,No fishing/No ban
autumn_9_eelgrass,9.20700727,56.71051209,0,1103.17724609375,NA,0,1442015198,0,0,0,0,1,0,0,No fishing/No ban
autumn_9_rocks,9.2016147,56.706257,0,543.78302001953125,NA,0,1446013949,0,0,0,0,1,0,0,No fishing/No ban
autumn_9_sand,9.2091164,56.71280751,0,1372.0787353515625,NA,0,1439932511,0,0,0,0,1,0,0,No fishing/No ban
spring_1_rocks,8.4066144,55.4464839,0,211.89620971679688,NA,0,2612904117,0,0.4193548262119293,0,0,0.5806451439857483,0,0,No fishing/No ban
spring_1_sand,8.31535033,55.46983904,0.8767096996307373,686.2215576171875,NA,0,2590826922,0,0,0,0,1,0,0,No fishing/No ban
spring_10_eelgrass,8.61017776,56.55391126,0,3680.4892578125,NA,0,1586884146,0,0,0,0,1,0,0,No fishing/No ban
spring_10_rocks,8.61454023,56.55032935,0,4124.37890625,NA,0,1590216493,0,0,0,0,1,0,0,No fishing/No ban
spring_10_sand,8.61504498,56.55925617,0,3361.4580078125,NA,0,1581885696,0,0,0,0,0.9097937941551208,0,0.09020618349313736,No fishing/Ban
spring_11_rocks,10.282349,56.8039704,0,10043.634765625,NA,0,1349466573,0,0,0,0,1,0,0,No fishing/No ban
spring_11_sand,10.28607025,56.79719521,0,9416.076171875,NA,0,1355714697,0,0,0,0,1,0,0,No fishing/No ban
spring_12_rocks,10.30299737,56.60978684,0,36.055511474609375,NA,0,1529328712,0,0,1,0,0,0,0,No fishing/No ban
spring_12_sand,10.29712065,56.60705356,0,0,Yes,0,1531911225,0,0,0.9524999856948853,0,0,0,0.04749999940395355,No fishing/No ban
spring_13_rocks,10.95986495,56.44552427,0,870.05743408203125,NA,0,1673622252,0,0,0,0,0,1,0,No fishing/No ban
spring_13_sand,10.95508786,56.44816462,0,1018.6755981445313,NA,0,1671206290,0,0,0,0,0,1,0,No fishing/No ban
spring_14_rocks,10.219473,56.1388617,0,2575.985107421875,NA,0,1966695293,0,0,0,0,0.8676470518112183,0,0.13235294818878174,No fishing/No ban
spring_14_sand,10.22345435,56.12285239,0,3121.362060546875,NA,1,1981524144,0,0,0,0,0.647230327129364,0,0.352769672870636,No fishing/No ban
spring_15_rocks,9.6995034,55.7030775,0,778.01025390625,NA,0,2374484770,0,0,0,0,1,0,0,No fishing/No ban
spring_15_sand,9.710981,55.70038092,0,1006.0317993164063,NA,0,2376900775,0,0,0,0,1,0,0,No fishing/No ban
spring_16_eelgrass,10.61310246,55.5021309,0,3288.677734375,NA,0,2552769684,0,0,0,0,0,0,1,No fishing/No ban
spring_16_rocks,10.59840165,55.48628704,0,2551.568115234375,NA,0,2567681727,0,0,0,0,0,0,1,No fishing/No ban
spring_16_sand,10.61822206,55.49418168,0,3964.89599609375,NA,0,2560100822,0,0,0,0,0,0,1,No fishing/No ban
spring_17_eelgrass,9.71511814,55.48243617,0,1719.593017578125,NA,0,2578922726,0,0,0,0,1,0,0,No fishing/No ban
spring_17_rocks,9.72807937,55.48988732,0,2080.384521484375,NA,0,2572008243,0,0,0,0,1,0,0,No fishing/No ban
spring_17_sand,9.72438389,55.4722045,0,1210.165283203125,NA,0,2588419898,0,0,0,0,1,0,0,No fishing/No ban
spring_18_rocks,9.50277209,55.11464713,0,833.84649658203125,NA,1,2920900753,0,0,0,0,1,0,0,No fishing/No ban
spring_18_sand,9.4882245,55.11825552,0,1842.308349609375,NA,1,2917651648,0,0,0,0,0.9452054500579834,0,0.054794520139694214,No fishing/No ban
spring_19_eelgrass,10.25488398,55.04167237,0,89.442718505859375,NA,2,2983553181,0,0,0.14499999582767487,0,0,0,0.8550000190734863,No fishing/No ban
spring_19_rocks,10.25435219,55.04015914,0,250,NA,0,2984969414,0,0,0,0,0,0,1,No fishing/No ban
spring_19_sand,10.21874036,55.06489033,0,452.76922607421875,NA,0,2962309406,0,0,0,0,1,0,0,No fishing/No ban
spring_20_eelgrass,11.01524311,54.8791064,0,300,NA,0,3124765152,0,0,0,0,1,0,0,No fishing/No ban
spring_20_rocks,11.0176403,54.8803404,0,450,NA,0,3123515547,0,0,0,0,1,0,0,No fishing/No ban
spring_20_sand,11.01350353,54.88502254,0,970,NA,0,3119266810,0,0,0,0,1,0,0,No fishing/No ban
spring_21_eelgrass,11.49217673,54.91905585,0,2216.032470703125,NA,0,3079531951,0,0,0,0,1,0,0,No fishing/No ban
spring_21_rocks,11.4936118,54.8378707,0,120.41594696044922,NA,0,3154759116,0.38403043150901794,0,0,0,0.10646387934684753,0,0.5095056891441345,No fishing/No ban
spring_21_sand,11.47969321,54.84748884,0,1249.19970703125,NA,0,3146094991,0,0,0,0,0,0,1,No fishing/No ban
spring_23_rocks,12.4624129,54.955125,0.4383968114852905,7376.91650390625,NA,NA,3024055019,NA,NA,NA,NA,NA,NA,NA,NA
spring_23_sand,12.47570698,54.95019802,0,6360.015625,NA,0,3028303815,0,0,0,0,1,0,0,No fishing/No ban
spring_24_eelgrass,12.08769028,55.13308773,0,7191.3076171875,NA,0,2868516497,0,0,0,0,1,0,0,No fishing/No ban
spring_24_rocks,12.0908908,55.1701609,0,9708.578125,NA,0,2834110295,0,0,0,0,1,0,0,No fishing/No ban
spring_24_sand,12.10739352,55.135901,0,6304.490234375,NA,0,2865434225,0,0,0,0,1,0,0,No fishing/No ban
spring_25_eelgrass,12.28239716,55.56489727,0,10702.392578125,NA,0,2463723939,0,0,0,0,0,0,1,No fishing/No ban
spring_25_rocks,12.28656134,55.56748637,0,10959.5302734375,NA,0,2461224724,0,0,0,0,0,0,1,No fishing/No ban
spring_25_sand,12.28888679,55.56931596,0,11146.892578125,NA,0,2459475270,0,0,0,0,0.6733668446540833,0,0.32663315534591675,No fishing/No ban
spring_26_eelgrass,12.59476462,55.74929873,0,2488.473388671875,NA,0,2284696910,0,0,0,0,1,0,0,No fishing/No ban
spring_26_rocks,12.60278652,55.75903234,0,2504.0166015625,NA,0,2275533074,0,0,0,0,0.9049999713897705,0,0.0949999988079071,No fishing/No ban
spring_26_sand,12.59356584,55.75146986,0,2640.54931640625,NA,0,2282780817,0,0,0,0,1,0,0,No fishing/No ban
spring_27_eelgrass,12.61937113,56.04229589,0,250,NA,0,2012612965,0,0,0,0,1,0,0,No fishing/No ban
spring_27_rocks,12.6181348,56.0411843,0,388.32977294921875,NA,NA,2013695962,0,0,0,0,1,0,0,NA
spring_27_sand,12.60919503,56.04450606,0,650,NA,0,2010863433,0,0,0,0,1,0,0,No fishing/No ban
spring_28_eelgrass,11.8471504,55.95139329,0,430,NA,0,2115576887,0,0,0,0,1,0,0,No fishing/No ban
spring_28_rocks,11.8442571,55.96726649,0,190,NA,0,2100997962,0,0,0,0,1,0,0,No fishing/No ban
spring_28_sand,11.84613189,55.96898158,0,290,NA,0,2099331813,0,0,0,0,1,0,0,No fishing/No ban
spring_29_eelgrass,12.07090738,55.68531813,0,3089.33642578125,NA,0,2357171615,0,1,0,0,0,0,0,No fishing/Ban
spring_29_rocks,12.06896049,55.67983516,0,2482.03564453125,NA,0,2362336702,0,0.9222797751426697,0,0,0,0,0.07772020995616913,No fishing/Ban
spring_29_sand,12.07310664,55.68356509,0,2891.401123046875,NA,0,2358754482,0,1,0,0,0,0,0,No fishing/Ban
spring_3_rocks,8.1173628,55.9967104,0,11245.4482421875,NA,0,2101141321,0,0,0,0,1,0,0,No fishing/No ban
spring_3_sand,8.12051726,55.98988942,3.1210272312164307,11462.7265625,NA,0,2107472748,0,0,0,0,1,0,0,Yes fishing/No ban
spring_30_eelgrass,11.31756065,55.75904756,0,64.03124237060547,NA,0,2304182965,0,0,0,0,1,0,0,No fishing/No ban
spring_30_rocks,11.32239182,55.75466545,0,169.70562744140625,NA,0,2308181781,0,0,0,0,1,0,0,No fishing/No ban
spring_30_sand,11.34937786,55.75885483,0,1255.746826171875,NA,0,2303766625,0,0,0,0,1,0,0,No fishing/No ban
spring_31_eelgrass,11.10107746,55.34659324,0,2040,NA,0,2690064402,0,0,0.19141913950443268,0,0,0,0.8085808753967285,No fishing/No ban
spring_31_rocks,11.12842404,55.32808218,0,2893.52734375,NA,0,2706809489,0,0,0,0,1,0,0,No fishing/No ban
spring_31_sand,11.10117661,55.3475465,0,2042.449462890625,NA,0,2689231322,0,0,0.19141913950443268,0,0,0,0.8085808753967285,No fishing/No ban
spring_32_rocks,14.8263621,55.2521937,0,10248.169921875,NA,1,2665345616,0,0,0,0,0.4098360538482666,0.5901639461517334,0,No fishing/No ban
spring_32_sand,14.8194941,55.2571398,0,10862.435546875,NA,1,2661096860,0,0,0,0,0.6282722353935242,0.37172773480415344,0,No fishing/No ban
spring_33_rocks,14.90372037,55.02243003,0,7053.0703125,NA,0,2874532712,0,0,0,0,1,0,0,No fishing/No ban
spring_33_sand,14.91194958,55.02055438,0,6849.76611328125,NA,0,2875865694,0,0,0,0,1,0,0,No fishing/No ban
spring_4_rocks,8.6208932,57.1265072,0,7181.7822265625,NA,0,1055879055,0,0,0,0,1,0,0,No fishing/No ban
spring_4_sand,8.6151892,57.1264403,0,6891.451171875,NA,0,1055962329,0,0,0,0,1,0,0,No fishing/No ban
spring_5_rocks,9.95747873,57.59591614,0.07190929353237152,591.3543701171875,NA,NA,617770302,0,0,0,0,1,0,0,NA
spring_5_sand,9.94725756,57.5921291,0,1071.5408935546875,NA,0,621352485,0,0,0,0,1,0,0,No fishing/No ban
spring_6_rocks,10.5260316,57.338797,0,8392.359375,NA,0,850952856,0,0,0,0,1,0,0,No fishing/No ban
spring_6_sand,10.53214435,57.31914996,0,9951.10546875,NA,0,869114042,0,0,0,0,1,0,0,No fishing/No ban
spring_7_rocks,11.1282307,57.3214171,0,12640.3671875,NA,NA,859037362,0,0,0,0,1,0,0,NA
spring_7_sand,11.13292171,57.32297997,0,12951.509765625,NA,0,857454538,0,0,0,0,1,0,0,No fishing/No ban
spring_8_eelgrass,9.87131989,57.05959471,0,50,NA,0,1115701779,0,0.18000000715255737,0.7174999713897705,0,0.10249999910593033,0,0,No fishing/No ban
spring_8_rocks,9.8705184,57.0550982,0,92.19544219970703,NA,NA,1119867175,0,0.25170066952705383,0.7074829936027527,0,0.040816325694322586,0,0,NA
spring_8_sand,9.63479997,57.01030036,0,1870.85546875,NA,0,1162686062,0,0,0,0,1,0,0,No fishing/No ban
spring_9_eelgrass,9.20700727,56.71051209,0,1103.17724609375,NA,0,1442015198,0,0,0,0,1,0,0,No fishing/No ban
spring_9_rocks,9.2016147,56.706257,0,543.78302001953125,NA,0,1446013949,0,0,0,0,1,0,0,No fishing/No ban
spring_9_sand,9.2091164,56.71280751,0,1372.0787353515625,NA,0,1439932511,0,0,0,0,1,0,0,No fishing/No ban
