phylum	class	new_phylum	marine
Acanthocephala	Palaeacanthocephala	Acanthocephala	yes
Annelida	Clitellata	Annelida	yes
Annelida	Polychaeta	Annelida	yes
Apicomplexa	Conoidasida	Apicomplexa	yes
Apicomplexa	Marosporida	Apicomplexa	yes
Arthropoda	Arachnida	Arthropoda	yes
Arthropoda	Branchiopoda	Arthropoda	yes
Arthropoda	Collembola	Arthropoda	no
Arthropoda	Hexanauplia	Arthropoda	yes
Arthropoda	Insecta	Arthropoda	no
Arthropoda	Malacostraca	Arthropoda	yes
Arthropoda	Ostracoda	Arthropoda	yes
Arthropoda	Pycnogonida	Arthropoda	yes
Arthropoda	Thecostraca	Arthropoda	yes
Ascomycota	Arthoniomycetes	Ascomycota	yes
Ascomycota	Dothideomycetes	Ascomycota	yes
Ascomycota	Eurotiomycetes	Ascomycota	yes
Ascomycota	Laboulbeniomycetes	Ascomycota	yes
Ascomycota	Lecanoromycetes	Ascomycota	no
Ascomycota	Leotiomycetes	Ascomycota	yes
Ascomycota	Lichinomycetes	Ascomycota	yes
Ascomycota	Pezizomycetes	Ascomycota	yes
Ascomycota	Saccharomycetes	Ascomycota	yes
Ascomycota	Sordariomycetes	Ascomycota	yes
Ascomycota	Taphrinomycetes	Ascomycota	no
Bacillariophyta	Bacillariophyceae	Bacillariophyceae*	yes
Bacillariophyta	Coscinodiscophyceae	Coscinodiscophyceae*	yes
Bacillariophyta	Fragilariophyceae	Fragilariophyceae*	yes
Bacillariophyta	Mediophyceae	Mediophyceae*	yes
Basidiomycota	Agaricomycetes	Basidiomycota	yes
Basidiomycota	Agaricostilbomycetes	Basidiomycota	yes
Basidiomycota	Atractiellomycetes	Basidiomycota	no
Basidiomycota	Classiculomycetes	Basidiomycota	no
Basidiomycota	Cystobasidiomycetes	Basidiomycota	yes
Basidiomycota	Exobasidiomycetes	Basidiomycota	yes
Basidiomycota	Malasseziomycetes	Basidiomycota	yes
Basidiomycota	Microbotryomycetes	Basidiomycota	yes
Basidiomycota	Pucciniomycetes	Basidiomycota	no
Basidiomycota	Tremellomycetes	Basidiomycota	yes
Basidiomycota	Tritirachiomycetes	Basidiomycota	yes
Basidiomycota	Ustilaginomycetes	Basidiomycota	yes
Basidiomycota	Wallemiomycetes	Basidiomycota	yes
Blastocladiomycota	Blastocladiomycetes	Blastocladiomycota	yes
Blastocladiomycota	Physodermatomycetes	Blastocladiomycota	no
Bryozoa	Gymnolaemata	Bryozoa	yes
Bryozoa	Phylactolaemata	Bryozoa	no
Bryozoa	Stenolaemata	Bryozoa	yes
Cercozoa	Chlorarachniophyceae	Cercozoa	yes
Cercozoa	Imbricatea	Cercozoa	yes
Cercozoa	Thecofilosea	Cercozoa	yes
Chaetognatha	Sagittoidea	Chaetognatha	yes
Chlorophyta	Chlorodendrophyceae	Chlorophyta	yes
Chlorophyta	Chlorophyceae	Chlorophyta	yes
Chlorophyta	Chloropicophyceae	Chlorophyta	yes
Chlorophyta	Mamiellophyceae	Chlorophyta	yes
Chlorophyta	Nephroselmidophyceae	Chlorophyta	yes
Chlorophyta	Pyramimonadophyceae	Chlorophyta	yes
Chlorophyta	Trebouxiophyceae	Chlorophyta	yes
Chlorophyta	Ulvophyceae	Chlorophyta	yes
Chordata	Actinopteri	Chordata	yes
Chordata	Amphibia	Chordata	no
Chordata	Appendicularia	Chordata	yes
Chordata	Ascidiacea	Chordata	yes
Chordata	Chondrichthyes	Chordata	yes
Chordata	Leptocardii	Chordata	yes
Chordata	Mammalia	Chordata	yes
Chordata	Thaliacea	Chordata	yes
Chytridiomycota	Chytridiomycetes	Chytridiomycota	yes
Chytridiomycota	Monoblepharidomycetes	Chytridiomycota	no
Ciliophora	Armophorea	Ciliophora	yes
Ciliophora	Colpodea	Ciliophora	yes
Ciliophora	Heterotrichea	Ciliophora	yes
Ciliophora	Karyorelictea	Ciliophora	yes
Ciliophora	Litostomatea	Ciliophora	yes
Ciliophora	Muranotrichea	Ciliophora	yes
Ciliophora	Nassophorea	Ciliophora	yes
Ciliophora	Odontostomatea	Ciliophora	yes
Ciliophora	Oligohymenophorea	Ciliophora	yes
Ciliophora	Parablepharismea	Ciliophora	yes
Ciliophora	Plagiopylea	Ciliophora	yes
Ciliophora	Prostomatea	Ciliophora	yes
Ciliophora	Spirotrichea	Ciliophora	yes
Cnidaria	Anthozoa	Cnidaria	yes
Cnidaria	Hydrozoa	Cnidaria	yes
Cnidaria	Scyphozoa	Cnidaria	yes
Cnidaria	Staurozoa	Cnidaria	yes
Ctenophora	Nuda	Ctenophora	yes
Ctenophora	Tentaculata	Ctenophora	yes
Discosea	Flabellinia	Discosea	yes
Echinodermata	Asteroidea	Echinodermata	yes
Echinodermata	Echinoidea	Echinodermata	yes
Echinodermata	Holothuroidea	Echinodermata	yes
Echinodermata	Ophiuroidea	Echinodermata	yes
Endomyxa	Ascetosporea	Endomyxa	yes
Endomyxa	Phytomyxea	Endomyxa	yes
Euglenozoa	Euglenida	Euglenozoa	yes
Evosea	Variosea	Evosea	yes
Kinorhyncha	Allomalorhagida	Kinorhyncha	yes
Kinorhyncha	Cyclorhagida	Kinorhyncha	yes
Mollusca	Bivalvia	Mollusca	yes
Mollusca	Gastropoda	Mollusca	yes
Mollusca	Polyplacophora	Mollusca	yes
Mucoromycota	Endogonomycetes	Mucoromycota	no
Mucoromycota	Glomeromycetes	Mucoromycota	no
Mucoromycota	Mortierellomycetes	Mucoromycota	no
Mucoromycota	Mucoromycetes	Mucoromycota	no
Mucoromycota	Umbelopsidomycetes	Mucoromycota	no
NA	Acantharea	Acantharea*	yes
NA	Aphelidea	Aphelidea*	yes
NA	Aurearenophyceae	Aurearenophyceae*	yes
NA	Bigyra	Bigyra*	yes
NA	Bolidophyceae	Bolidophyceae*	yes
NA	Breviatea	Breviatea*	yes
NA	Centroplasthelida	Heliozoa	yes
NA	Choanoflagellata	Choanoflagellata*	yes
NA	Chrysomerophyceae	Chrysomerophyceae*	yes
NA	Chrysophyceae	Chrysophyceae*	yes
NA	Cryptophyceae	Cryptophyta	yes
NA	Developea	Developea*	yes
NA	Dictyochophyceae	Dictyochophyceae*	yes
NA	Dinophyceae	Dinophyceae*	yes
NA	Eustigmatophyceae	Eustigmatophyceae*	yes
NA	Filasterea	Filasterea*	yes
NA	Glaucocystophyceae	Glaucocystophyceae*	no
NA	Hyphochytriomycetes	Hyphochytriomycetes*	yes
NA	Ichthyosporea	Ichthyosporea*	yes
NA	Olisthodiscophyceae	Olisthodiscophyceae*	yes
NA	Pelagophyceae	Pelagophyceae*	yes
NA	Phaeophyceae	Phaeophyceae*	yes
NA	Phaeosacciophyceae	Phaeosacciophyceae*	yes
NA	Pinguiophyceae	Pinguiophyceae*	yes
NA	Polycystinea	Polycystinea*	yes
NA	Raphidophyceae	Raphidophyceae*	yes
NA	Rhodelphea	Rhodelphidia	yes
NA	Synchromophyceae	Synchromophyceae*	yes
NA	Synurophyceae	Synurophyceae*	yes
NA	Xanthophyceae	Xanthophyceae*	yes
Nematoda	Chromadorea	Nematoda	yes
Nematoda	Enoplea	Nematoda	yes
Nemertea	Enopla	Nemertea	yes
Nemertea	Palaeonemertea	Nemertea	yes
Nemertea	Pilidiophora	Nemertea	yes
Platyhelminthes	Catenulida	Platyhelminthes	yes
Platyhelminthes	Cestoda	Platyhelminthes	yes
Platyhelminthes	Monogenea	Platyhelminthes	yes
Platyhelminthes	Rhabditophora	Platyhelminthes	yes
Platyhelminthes	Trematoda	Platyhelminthes	yes
Platyhelminthes	Turbellaria	Platyhelminthes	yes
Porifera	Calcarea	Porifera	yes
Porifera	Demospongiae	Porifera	yes
Porifera	Homoscleromorpha	Porifera	yes
Prasinodermophyta	Prasinodermophyceae	Prasinodermophyta	yes
Rhodophyta	Bangiophyceae	Rhodophyta	yes
Rhodophyta	Compsopogonophyceae	Rhodophyta	yes
Rhodophyta	Florideophyceae	Rhodophyta	yes
Rhodophyta	Rhodellophyceae	Rhodophyta	yes
Rhodophyta	Stylonematophyceae	Rhodophyta	yes
Rotifera	Eurotatoria	Rotifera	yes
Streptophyta	Anthocerotopsida	Streptophyta	no
Streptophyta	Bryopsida	Streptophyta	yes
Streptophyta	Charophyceae	Streptophyta	yes
Streptophyta	Chlorokybophyceae	Streptophyta	no
Streptophyta	Klebsormidiophyceae	Streptophyta	yes
Streptophyta	Magnoliopsida	Streptophyta	yes
Streptophyta	Marchantiopsida	Streptophyta	no
Streptophyta	Pinopsida	Streptophyta	no
Streptophyta	Polypodiopsida	Streptophyta	no
Streptophyta	Polytrichopsida	Streptophyta	no
Streptophyta	Zygnemophyceae	Streptophyta	no
Tardigrada	Eutardigrada	Tardigrada	yes
Tardigrada	Heterotardigrada	Tardigrada	yes
Tubulinea	Echinamoebida	Tubulinea	no
Tubulinea	Elardia	Tubulinea	yes
Zoopagomycota	Entomophthoromycetes	Zoopagomycota	no
Zoopagomycota	Zoopagomycetes	Zoopagomycota	no